image_name,label,x,y,width,height
stereo20190406_065607_p0_snap_080.jpg,1,1407,1455,70,70
stereo20190406_065607_p0_snap_080.jpg,1,1407,1455,70,70
stereo20190406_065607_p0_snap_080.jpg,3,1424,779,78,78
stereo20190406_065607_p0_snap_080.jpg,3,1352,813,68,68
stereo20190406_065607_p0_snap_080.jpg,1,186,1307,82,82
stereo20190406_065607_p0_snap_080.jpg,1,1320,448,100,100
stereo20190406_065607_p0_snap_080.jpg,1,1390,816,64,64
stereo20190406_065607_p0_snap_080.jpg,1,1878,878,118,118
stereo20190406_065607_p0_snap_080.jpg,1,1286,1685,82,82
stereo20190406_065607_p0_snap_080.jpg,1,1127,1724,206,206
stereo20190406_065607_p0_snap_080.jpg,1,828,1773,224,224
stereo20190406_054921_p0_snap_414.jpg,1,1829,424,78,78
stereo20190406_054921_p0_snap_414.jpg,1,314,1367,72,72
stereo20190406_054921_p0_snap_414.jpg,1,314,1367,72,72
stereo20190406_054921_p0_snap_414.jpg,2,1656,451,160,160
stereo20190406_054921_p0_snap_414.jpg,3,971,797,142,142
stereo20190406_054921_p0_snap_414.jpg,2,1866,542,120,120
stereo20190406_054921_p0_snap_414.jpg,2,1718,509,136,136
stereo20190406_054921_p0_snap_414.jpg,1,1731,781,82,82
stereo20190406_054921_p0_snap_414.jpg,2,1234,660,100,100
stereo20190406_054921_p0_snap_414.jpg,1,873,849,82,82
stereo20190406_054921_p0_snap_414.jpg,1,725,284,82,82
stereo20190406_054921_p0_snap_414.jpg,1,1074,360,136,136
stereo20190406_054921_p0_snap_414.jpg,1,115,1781,136,136
stereo20190406_054921_p0_snap_414.jpg,1,796,1396,118,118
stereo20190406_054921_p0_snap_414.jpg,2,1281,296,100,100
stereo20190406_054921_p0_snap_414.jpg,2,1822,1177,136,136
stereo20190405_133623_p0_snap_041.jpg,1,1506,1390,120,120
stereo20190405_133623_p0_snap_041.jpg,1,1522,1316,120,120
stereo20190405_133623_p0_snap_041.jpg,3,507,1797,136,136
stereo20190406_065607_p0_snap_082.jpg,2,187,692,82,82
stereo20190406_065607_p0_snap_082.jpg,2,1294,1401,82,82
stereo20190406_065607_p0_snap_082.jpg,2,1491,473,64,64
stereo20190406_065607_p0_snap_082.jpg,1,1414,459,82,82
stereo20190406_065607_p0_snap_082.jpg,1,1645,1527,82,82
stereo20190406_065607_p0_snap_082.jpg,1,1603,1524,82,82
stereo20190406_065607_p0_snap_082.jpg,1,1470,846,82,82
stereo20190406_065607_p0_snap_082.jpg,1,997,1775,206,206
stereo20190406_065607_p0_snap_082.jpg,1,1006,1530,206,206
stereo20190405_133623_p1_snap_067.jpg,1,434,629,72,72
stereo20190405_133623_p1_snap_067.jpg,2,99,435,104,104
stereo20190405_133623_p1_snap_067.jpg,3,173,389,104,104
stereo20190405_133623_p1_snap_067.jpg,1,1069,582,88,88
stereo20190405_133623_p1_snap_067.jpg,1,1489,1199,104,104
stereo20190405_133623_p1_snap_067.jpg,1,977,684,104,104
stereo20190405_133623_p1_snap_067.jpg,1,949,570,104,104
stereo20190405_133623_p1_snap_067.jpg,1,1547,737,104,104
stereo20190406_054921_p0_snap_416.jpg,1,757,1777,126,126
stereo20190406_054921_p0_snap_416.jpg,2,1629,1443,76,76
stereo20190406_054921_p0_snap_416.jpg,1,1715,1091,76,76
stereo20190406_054921_p0_snap_416.jpg,2,1791,1586,142,142
stereo20190406_054921_p0_snap_416.jpg,3,967,1191,126,126
stereo20190406_054921_p0_snap_416.jpg,2,1359,632,82,82
stereo20190406_054921_p0_snap_416.jpg,1,1073,743,142,142
stereo20190406_054921_p0_snap_416.jpg,2,1858,985,118,118
stereo20190406_054921_p0_snap_416.jpg,1,1231,979,82,82
stereo20190406_054921_p0_snap_416.jpg,1,1802,1772,82,82
stereo20190406_054921_p0_snap_416.jpg,1,861,1237,82,82
stereo20190406_054921_p0_snap_416.jpg,1,728,586,82,82
stereo20190406_054921_p0_snap_416.jpg,3,1257,598,82,82
stereo20190406_054921_p0_snap_416.jpg,2,1293,633,82,82
stereo20190406_054921_p0_snap_416.jpg,2,1662,866,136,136
stereo20190406_054921_p0_snap_416.jpg,2,1713,949,136,136
stereo20190405_132743_p0_snap_493.jpg,3,525,929,42,42
stereo20190405_132743_p0_snap_493.jpg,1,792,427,30,30
stereo20190405_132743_p0_snap_493.jpg,2,767,532,34,34
stereo20190405_132743_p0_snap_493.jpg,2,792,535,34,34
stereo20190405_132743_p0_snap_493.jpg,1,593,144,62,62
stereo20190405_132743_p0_snap_493.jpg,1,432,157,46,46
stereo20190405_132743_p0_snap_493.jpg,2,847,907,46,46
stereo20190405_132743_p0_snap_493.jpg,3,538,692,38,38
stereo20190405_132743_p0_snap_493.jpg,1,867,640,46,46
stereo20190405_132743_p0_snap_493.jpg,1,505,291,58,58
stereo20190405_132743_p0_snap_493.jpg,1,563,376,34,34
stereo20190405_132743_p0_snap_493.jpg,1,516,386,50,50
stereo20190405_133623_p2_snap_011.jpg,3,447,915,84,84
stereo20190405_133623_p2_snap_011.jpg,1,731,313,120,120
stereo20190405_133623_p2_snap_011.jpg,3,129,841,70,70
stereo20190405_133623_p2_snap_011.jpg,1,1893,164,96,96
stereo20190405_133623_p2_snap_011.jpg,2,926,579,82,82
stereo20190405_133623_p2_snap_011.jpg,1,704,1155,88,88
stereo20190405_133623_p2_snap_011.jpg,2,14,354,104,104
stereo20190405_133623_p2_snap_011.jpg,1,433,636,88,88
stereo20190405_133623_p2_snap_011.jpg,1,1848,1214,104,104
stereo20190405_133623_p2_snap_011.jpg,1,1838,765,120,120
stereo20190405_133623_p2_snap_011.jpg,2,1379,217,120,120
stereo20190405_133623_p2_snap_011.jpg,3,718,735,120,120
stereo20190406_065607_p0_snap_075.jpg,1,1185,347,242,242
stereo20190406_065607_p0_snap_075.jpg,2,1551,903,76,76
stereo20190406_065607_p0_snap_075.jpg,1,1834,1688,72,72
stereo20190406_065607_p0_snap_075.jpg,1,911,926,82,82
stereo20190406_065607_p0_snap_075.jpg,1,1367,352,188,188
